기준년도,자치구명,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수
2020,강남구,941487,2896,187174,288050,240040,156059,67267
2020,강동구,51801,29,6690,11093,11899,12174,9916
2020,강북구,17086,2,1566,3035,4080,4644,3759
2020,강서구,69556,58,9641,16476,16967,16320,10094
2020,관악구,40284,23,5988,9863,9826,8784,5800
2020,광진구,48840,131,7345,10064,12026,12941,6334
2020,구로구,110741,297,18784,31698,27806,20186,11970
2020,금천구,112988,326,19585,31221,26687,18879,16290
2020,노원구,25818,15,3080,5168,6286,6781,4488
2020,도봉구,19953,3,2174,3994,4941,5178,3664
2020,동대문구,52499,43,7876,11507,12397,11970,8706
2020,동작구,49512,48,7955,12270,11536,10764,6939
2020,마포구,109678,198,21147,29685,26748,20157,11742
2020,서대문구,35177,35,4340,7667,8593,9675,4868
2020,서초구,430680,1224,75722,120418,109422,91241,32653
2020,성동구,60218,168,9902,14550,14478,12931,8189
2020,성북구,60501,262,7496,14513,17065,15289,5877
2020,송파구,329967,562,47336,81130,85680,76876,38382
2020,양천구,74728,157,11412,18482,18452,16238,9986
2020,영등포구,327155,648,57247,106452,85937,54312,22560
2020,용산구,146887,405,32018,44607,37531,24514,7812
2020,은평구,28758,5,3450,6029,7208,6982,5084
2020,종로구,230875,2300,41020,67823,64783,40269,14680
2020,중구,415266,1558,90803,131210,103097,66102,22496
2020,중랑구,22118,7,2552,4627,5760,5828,3343
2021,강남구,956384,2635,190085,292723,243863,158614,68463
2021,강동구,50997,6,6552,10948,11764,11993,9734
2021,강북구,16433,0,1364,2882,3961,4565,3662
2021,강서구,70518,27,9660,16720,17282,16643,10186
2021,관악구,40359,8,5924,9928,9901,8856,5743
2021,광진구,51279,107,7829,10622,12639,13600,6481
2021,구로구,119932,278,20502,34633,30145,21632,12741
2021,금천구,119845,317,20892,33390,28436,19968,16842
2021,노원구,26685,2,3158,5340,6514,7031,4640
2021,도봉구,19916,0,2105,3980,4980,5230,3621
2021,동대문구,52028,8,7785,11442,12312,11897,8584
2021,동작구,49802,30,7952,12334,11623,10878,6987
2021,마포구,110998,100,21452,29990,27061,20478,11918
2021,서대문구,36188,14,4366,7830,8860,10032,5087
2021,서초구,436582,1040,76838,122269,111128,92222,33085
2021,성동구,60786,122,10036,14798,14674,13024,8131
2021,성북구,64475,287,8146,15560,18193,16291,5998
2021,송파구,339396,465,48596,83843,88456,78981,39055
2021,양천구,75483,130,11586,18867,18720,16375,9805
2021,영등포구,327232,564,57235,106483,85972,54409,22570
2021,용산구,148352,347,32123,44859,38093,25059,7870
2021,은평구,28777,0,3315,5994,7222,7021,5225
2021,종로구,230085,2171,40753,67773,64621,40166,14601
2021,중구,418193,1437,91426,132084,103871,66642,22732
2021,중랑구,21992,2,2422,4594,5769,5876,3329
2022,강남구,935745,2304,186188,286970,238846,154821,66617
2022,강동구,49302,1,6264,10585,11470,11562,9422
2022,강북구,16380,0,1228,2781,3979,4643,3749
2022,강서구,69361,10,9324,16353,17115,16539,10020
2022,관악구,41826,3,6042,10310,10303,9280,5887
2022,광진구,51290,80,7823,10696,12695,13570,6424
2022,구로구,124966,242,20893,35720,31416,23067,13628
2022,금천구,119744,298,20850,33430,28471,19994,16701
2022,노원구,29393,0,3449,5845,7166,7765,5168
2022,도봉구,20190,0,2074,4039,5085,5374,3618
2022,동대문구,52152,0,7741,11514,12403,11947,8547
2022,동작구,47834,22,7540,11899,11287,10463,6623
2022,마포구,110581,58,21232,29935,27026,20436,11895
2022,서대문구,35974,4,4273,7674,8808,10200,5014
2022,서초구,437306,863,76872,122403,111452,92527,33189
2022,성동구,62295,96,10382,15291,15080,13251,8195
2022,성북구,63044,284,7918,15184,17772,15922,5964
2022,송파구,350307,413,50068,86422,91150,81825,40429
2022,양천구,76978,106,11790,19264,19154,16734,9930
2022,영등포구,328506,527,57437,106798,86291,54700,22753
2022,용산구,150290,289,32763,45670,38485,25174,7909
2022,은평구,29970,0,3269,6142,7438,7352,5769
2022,종로구,225585,2068,39968,66503,63455,39419,14171
2022,중구,414351,1308,90197,131031,103112,66125,22578
2022,중랑구,21218,1,2197,4412,5661,5754,3193
2023,강남구,897607,1958,179141,275324,229296,148391,63497
2023,강동구,49476,0,6207,10566,11532,11690,9482
2023,강북구,15844,0,1124,2680,3967,4599,3474
2023,강서구,59950,3,7855,13992,14863,14494,8745
2023,관악구,41986,1,6023,10449,10336,9366,5811
2023,광진구,48716,63,7406,10156,12083,12923,6086
2023,구로구,123058,216,20603,35426,30954,22518,13340
2023,금천구,119524,288,20861,33492,28486,19890,16508
2023,노원구,29625,0,3477,5822,7177,7843,5307
2023,도봉구,19666,0,1980,3932,4970,5316,3467
2023,동대문구,51933,0,7670,11485,12356,11873,8548
2023,동작구,40577,12,6286,10205,9776,8870,5426
2023,마포구,106356,38,20514,28940,26038,19569,11257
2023,서대문구,35865,0,4408,7822,8727,10219,4689
2023,서초구,430840,702,75189,119981,110038,92184,32745
2023,성동구,64956,81,10816,15978,15748,13809,8525
2023,성북구,60001,246,7374,14500,16983,15249,5648
2023,송파구,333883,360,48092,82616,86855,78006,37953
2023,양천구,73501,86,11318,18467,18282,15922,9426
2023,영등포구,328985,506,57509,107388,86604,54580,22398
2023,용산구,146010,236,31585,44408,37627,24464,7691
2023,은평구,29574,0,3116,6101,7380,7306,5671
2023,종로구,219002,1977,39118,64695,61631,38106,13476
2023,중구,407205,1188,87944,129004,101678,65103,22288
2023,중랑구,20282,0,2010,4212,5443,5585,3032
2024,강남구,1028385,2214,205084,315723,263238,170117,72009
2024,강동구,49572,0,6083,10538,11631,11742,9579
2024,강북구,16604,0,1109,2737,4278,4922,3559
2024,강서구,65986,2,8494,15394,16403,16040,9655
2024,관악구,41291,1,5777,10244,10194,9412,5663
2024,광진구,44240,46,6728,9208,10989,11822,5446
2024,구로구,126978,195,20848,36427,31889,23539,14080
2024,금천구,122202,288,21635,34650,29259,20066,16304
2024,노원구,35385,0,4140,6782,8473,9424,6566
2024,도봉구,19730,0,1964,3956,5018,5434,3359
2024,동대문구,52850,0,7733,11700,12573,11997,8848
2024,동작구,39904,14,6321,9961,9397,8711,5501
2024,마포구,112488,24,21720,30848,27748,20520,11628
2024,서대문구,45642,0,5811,10218,10976,12933,5702
2024,서초구,437357,590,76186,121409,111828,94207,33137
2024,성동구,76288,75,12762,18886,18532,16064,9968
2024,성북구,58146,238,7235,14098,16364,14697,5515
2024,송파구,352322,364,51085,88454,92587,80626,39206
2024,양천구,76865,74,12016,19658,19163,16444,9510
2024,영등포구,356802,520,62334,117406,94501,58669,23373
2024,용산구,146853,216,32091,44476,37978,24420,7672
2024,은평구,32098,0,3034,6342,7700,7872,7151
2024,종로구,218395,1914,38864,64598,61548,38034,13437
2024,중구,429370,1156,92498,135843,107245,68881,23746
2024,중랑구,19274,0,1790,3938,5182,5421,2942
2025,강남구,1079924,2069,214872,329426,275198,180204,78155
2025,강동구,51554,0,6394,11106,12040,12175,9839
2025,강북구,14740,0,828,2349,3652,4424,3487
2025,강서구,73335,0,9440,17130,18196,17774,10795
2025,관악구,41999,0,5925,10647,10425,9419,5583
2025,광진구,56058,53,8541,11600,13908,15107,6849
2025,구로구,122194,196,20681,35508,30908,22067,12834
2025,금천구,131583,305,23298,37390,31562,21640,17388
2025,노원구,28109,0,3196,5475,6902,7505,5031
2025,도봉구,20112,0,1965,3933,5127,5513,3574
