기준년도,자치구명,전체점포수,프랜차이즈비율(%)
2020,강남구,52794.0,19.77
2020,강동구,21851.0,20.47
2020,강북구,16081.0,17.09
2020,강서구,27557.0,24.08
2020,관악구,23569.0,19.51
2020,광진구,21362.0,20.52
2020,구로구,20525.0,21.74
2020,금천구,14617.0,23.29
2020,노원구,18988.0,24.16
2020,도봉구,12330.0,17.92
2020,동대문구,20125.0,17.73
2020,동작구,17202.0,22.87
2020,마포구,38564.0,16.17
2020,서대문구,18339.0,19.55
2020,서초구,29954.0,20.73
2020,성동구,17944.0,19.9
2020,성북구,19178.0,20.53
2020,송파구,34749.0,22.77
2020,양천구,16552.0,22.89
2020,영등포구,30380.0,19.54
2020,용산구,20680.0,14.33
2020,은평구,19452.0,19.18
2020,종로구,27855.0,15.29
2020,중구,26090.0,19.66
2020,중랑구,17548.0,17.72
2021,강남구,54874.0,19.49
2021,강동구,22948.0,21.46
2021,강북구,16721.0,17.65
2021,강서구,29542.0,24.19
2021,관악구,24837.0,19.93
2021,광진구,22497.0,20.69
2021,구로구,21366.0,22.69
2021,금천구,15346.0,23.99
2021,노원구,19779.0,24.82
2021,도봉구,12916.0,18.59
2021,동대문구,20911.0,18.39
2021,동작구,17525.0,23.01
2021,마포구,40157.0,16.28
2021,서대문구,18729.0,20.18
2021,서초구,30420.0,21.27
2021,성동구,19162.0,20.15
2021,성북구,19925.0,21.03
2021,송파구,36462.0,22.76
2021,양천구,17454.0,23.24
2021,영등포구,31580.0,20.06
2021,용산구,20999.0,14.36
2021,은평구,20597.0,20.27
2021,종로구,27786.0,15.09
2021,중구,25990.0,19.53
2021,중랑구,18453.0,18.18
2022,강남구,56565.0,19.35
2022,강동구,23583.0,21.75
2022,강북구,17125.0,18.23
2022,강서구,31125.0,24.44
2022,관악구,25479.0,20.28
2022,광진구,23409.0,21.01
2022,구로구,22164.0,23.17
2022,금천구,16205.0,24.68
2022,노원구,20228.0,25.38
2022,도봉구,13172.0,19.4
2022,동대문구,21669.0,18.89
2022,동작구,17784.0,22.9
2022,마포구,42105.0,16.3
2022,서대문구,19291.0,20.2
2022,서초구,30867.0,21.22
2022,성동구,20102.0,19.53
2022,성북구,20556.0,21.22
2022,송파구,37864.0,22.94
2022,양천구,18147.0,23.98
2022,영등포구,32537.0,20.0
2022,용산구,22066.0,14.06
2022,은평구,21373.0,20.59
2022,종로구,28310.0,14.86
2022,중구,26418.0,19.24
2022,중랑구,19166.0,18.57
2023,강남구,57471.0,19.26
2023,강동구,23722.0,21.98
2023,강북구,17278.0,18.38
2023,강서구,31765.0,24.58
2023,관악구,25810.0,20.32
2023,광진구,23659.0,21.16
2023,구로구,22591.0,23.67
2023,금천구,16591.0,24.45
2023,노원구,20460.0,25.37
2023,도봉구,13178.0,19.62
2023,동대문구,22123.0,18.75
2023,동작구,17997.0,22.38
2023,마포구,43453.0,15.98
2023,서대문구,19513.0,20.25
2023,서초구,30976.0,21.25
2023,성동구,20986.0,18.61
2023,성북구,20940.0,21.38
2023,송파구,38790.0,22.88
2023,양천구,18439.0,24.05
2023,영등포구,33535.0,20.11
2023,용산구,23049.0,14.2
2023,은평구,21485.0,20.81
2023,종로구,28973.0,14.74
2023,중구,27269.0,19.08
2023,중랑구,19547.0,19.3
2024,강남구,57335.0,18.89
2024,강동구,23644.0,21.95
2024,강북구,16964.0,18.0
2024,강서구,32234.0,24.13
2024,관악구,26036.0,20.16
2024,광진구,23558.0,20.29
2024,구로구,22436.0,23.24
2024,금천구,16706.0,24.31
2024,노원구,20466.0,25.36
2024,도봉구,13061.0,20.19
2024,동대문구,22357.0,18.76
2024,동작구,18118.0,22.57
2024,마포구,43848.0,15.71
2024,서대문구,19549.0,19.72
2024,서초구,31295.0,21.04
2024,성동구,21385.0,17.79
2024,성북구,20995.0,21.29
2024,송파구,38762.0,22.74
2024,양천구,18064.0,23.66
2024,영등포구,34203.0,19.97
2024,용산구,23419.0,14.32
2024,은평구,21308.0,20.48
2024,종로구,29251.0,14.64
2024,중구,27958.0,18.74
2024,중랑구,19753.0,19.39
2025,강남구,56013.0,18.56
2025,강동구,23255.0,22.16
2025,강북구,16254.0,18.01
2025,강서구,31334.0,23.5
2025,관악구,24836.0,20.14
2025,광진구,22933.0,19.76
2025,구로구,21587.0,22.81
2025,금천구,16376.0,24.19
2025,노원구,19776.0,25.35
2025,도봉구,12549.0,19.95
2025,동대문구,21565.0,18.12
2025,동작구,17556.0,22.61
2025,마포구,42499.0,15.4
2025,서대문구,18996.0,19.36
2025,서초구,30937.0,20.87
2025,성동구,20898.0,17.16
2025,성북구,20508.0,21.3
2025,송파구,37729.0,22.35
2025,양천구,17299.0,23.0
2025,영등포구,33919.0,19.26
2025,용산구,23140.0,13.86
2025,은평구,20268.0,20.13
2025,종로구,29096.0,14.43
2025,중구,27956.0,18.1
2025,중랑구,19103.0,19.23
