기준년도,자치구명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2020,종로구,269448773,27795541,47778447,43352079,45191946,43972157,61358604
2020,중구,237541555,18094522,38562734,47087623,43270859,39198095,51327720
2020,용산구,270388358,32635562,43235424,53080308,46913789,37655020,56868255
2020,성동구,312557080,44252802,51276012,55616126,49779633,45246523,66385982
2020,광진구,388269890,57166834,72263563,64778173,58802233,56157993,79101093
2020,동대문구,437308938,58156913,80319959,63509993,63176717,62510263,109635097
2020,중랑구,420499024,60836929,56260078,63058117,62036512,69822492,108484900
2020,성북구,499930302,86005128,82087180,68734166,75357996,70375519,117370310
2020,강북구,415608298,58633307,57027862,53198437,61692083,65642552,119414064
2020,도봉구,273780371,42012173,34257406,36010357,40151648,43768189,77580593
2020,노원구,430769228,80792628,60578407,51259160,65191461,65754338,107193232
2020,은평구,419287391,69541106,54199431,62395963,65837301,61902179,105411410
2020,서대문구,376779915,52811334,68691743,61145983,60183220,53342366,80605272
2020,마포구,476460629,65811393,93974097,91421488,79694033,60203440,85356179
2020,양천구,335425540,69356124,40201777,46179462,55407285,50084867,74196022
2020,강서구,481417568,78139907,67072149,85904438,75542642,65700339,109058095
2020,구로구,325346298,47470775,42505191,53855948,54437994,49852771,77223620
2020,금천구,157348516,18893334,22767818,27200578,24668026,25924532,37894224
2020,영등포구,432976761,53492798,65697524,80981246,71613656,66584871,94606665
2020,동작구,366090064,52802944,67054178,60406892,53298091,48817429,83710529
2020,관악구,546766748,60861340,126592994,101367956,76568179,67292429,114083852
2020,서초구,403552320,62736560,59280119,73781247,74754280,55368874,77631235
2020,강남구,583759676,85209576,100268982,121334653,111184637,72733173,93028654
2020,송파구,517546333,87012080,69676342,88915830,83774475,76713396,111454212
2020,강동구,452819298,76657393,55600976,69769888,71874743,69045929,109870375
2021,종로구,261640534,27517864,45971987,41627856,43608136,43476767,59437922
2021,중구,227925477,17881815,37175827,45560932,41680826,37694282,47931796
2021,용산구,262462178,31291581,41315697,52602673,45803034,37342046,54107146
2021,성동구,304550750,41940791,50714838,55014104,49423324,44546816,62910878
2021,광진구,373714987,54235152,69823945,63114453,57287831,54643009,74610598
2021,동대문구,420812272,55523985,78311593,61910041,61218627,60596263,103251763
2021,중랑구,411417120,57676362,55303185,62648648,61145031,68557715,106086180
2021,성북구,482183382,83301072,79070026,66851811,73251396,69026837,110682243
2021,강북구,401909375,56008367,54553256,51404580,60078971,64515995,115348205
2021,도봉구,269012447,41759124,33251619,34973432,39534452,43216279,76277539
2021,노원구,412795380,77139267,56132275,49432321,62361022,63793405,103937094
2021,은평구,409376606,66757494,52839433,61692055,64972866,61249537,101865220
2021,서대문구,371535697,53145930,65807955,61541183,60343131,53519973,77177524
2021,마포구,459153971,62988768,88892919,89587938,78627035,59052880,80004431
2021,양천구,324561212,68480710,38141014,44692088,54056176,48470403,70720820
2021,강서구,469789514,75624038,65152536,84556528,75469622,63697612,105289175
2021,구로구,317721890,45353172,40801787,52644125,53528621,49768716,75625470
2021,금천구,155088584,17496175,23075339,27382389,24631936,25787351,36715392
2021,영등포구,432000183,52832648,64453043,83695458,72087571,66921063,92010403
2021,동작구,345774220,50116667,60741876,58004166,51910023,46846047,78155437
2021,관악구,529345174,57725465,120980263,99612651,75547277,66314779,109164740
2021,서초구,395315632,64184135,55892983,71776190,75461667,55208439,72792222
2021,강남구,564386284,86319137,92890100,115931174,110407894,72296433,86541549
2021,송파구,505754516,85776713,67256365,87700350,83394174,74645148,106981764
2021,강동구,443510525,74309564,54322114,69402119,71512557,67359881,106604289
2022,종로구,272689230,29686391,50831921,42740468,44247667,44529504,60653278
2022,중구,235948616,19597424,39996719,47061287,42970166,38424089,47898931
2022,용산구,260199989,31916161,41801500,52413842,45169586,36856257,52042643
